Timestamp,Latitude,Longitude,Info
10/1/2021 2:32:58,40.739967,-73.878556,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739307,-73.877709,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739028,-73.877739,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739147,-73.877709,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739704,-73.878899,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739143,-73.878396,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739837,-73.878396,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739040,-73.877732,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739635,-73.878899,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739177,-73.877823,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739101,-73.877686,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739948,-73.878663,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739311,-73.877968,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739929,-73.878502,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739311,-73.878121,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739784,-73.881135,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739772,-73.881112,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739742,-73.880410,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739234,-73.880906,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739955,-73.881402,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739883,-73.881302,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739822,-73.880341,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739021,-73.881257,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.739727,-73.880486,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.738613,-73.877221,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.738838,-73.876641,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.738018,-73.877228,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.736129,-73.878975,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
10/1/2021 2:32:58,40.738140,-73.879235,Wireless Networks Location - BSSId: 00:D0:2D:99:2A:4C
